"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"malu1245","mll","Malua Bay",FALSE,167.208,-15.9813,"Papunesia","Pacific","shifting","Austronesian","wessels_kanauhea_janion_malua_2013"
"malv1243","mup","Malvi",FALSE,75.562,23.488,"Eurasia","Asia","not endangered","Indo-European","baskaran_s_ganesh_malv_2011"
"mama1275","mmn","Mamanwa",FALSE,125.548,9.44744,"Papunesia","Asia","not endangered","Austronesian","miller_helen_w_mamanwa_1976"
"mama1278","wmd","Mamaindé",FALSE,-60.101072,-12.986439,"South America","Americas","shifting","Nambiquaran","eberhard_david_m_mamainde_2009"
"mamb1294","mcs","Mambai",FALSE,14.0013,9.6121,"Africa","Africa","threatened","Atlantic-Congo","anonby_erik_john_phonology_2008"
"mamb1296","mgr","Mambwe-Lungu",FALSE,31.2269,-8.86817,"Africa","Africa","not endangered","Atlantic-Congo","kagaya_ryohei_classified_1987-1"
"mamb1306","mgm","Mambae",FALSE,125.475,-9.19552,"Papunesia","Asia","not endangered","Austronesian","hull_geoffrey_southern_2003"
"mamm1241","mam","Mam",FALSE,-91.7231,14.8034,"North America","Americas","threatened","Mayan","england_nora_c_mam_2017"
"mana1288","nmm","Manange",TRUE,84.0515,28.6416,"Eurasia","Asia","shifting","Sino-Tibetan","hildebrandt_manange_2016"
"mana1295","mva","Manam",TRUE,145.033,-4.07921,"Papunesia","Pacific","shifting","Austronesian","lichtenberk_grammar_1983"
"mana1298","mle","Manambu",FALSE,142.862,-4.19082,"Papunesia","Pacific","shifting","Ndu","aikhenvald_manambu_2008"
"manc1252","mnc","Manchu",TRUE,126.557,47.3122,"Eurasia","Asia","nearly extinct","Tungusic",NA
"mand1409","mjl","Mandeali",FALSE,77.0419,31.5425,"Eurasia","Asia","shifting","Indo-European","ranganatha_m_r_mandeali_1981"
"mand1413","mha","Manda (India)",FALSE,83.6749,20.0962,"Eurasia","Asia","shifting","Dravidian","burrow_thomas_sketch_1976"
"mand1415","cmn","Mandarin Chinese",TRUE,116.228,40.0209,"Eurasia","Asia","not endangered","Sino-Tibetan",NA
"mand1419","mfv","Mandjak",FALSE,-15.9217,12.829,"Africa","Africa","not endangered","Atlantic-Congo","karlik_jan_manjako_1972"
"mand1423","mgs","Manda-Matumba",FALSE,34.7424,-10.3991,"Africa","Africa","threatened","Atlantic-Congo","bernander_rasmus_grammar_2017"
"mand1425","mqu","Mandari",FALSE,31.2327,5.83656,"Africa","Africa","not endangered","Nilotic","lutwori_allen_pitya_mundari_2013"
"mand1436","mnk","Mandinka",FALSE,-15.6539466667,12.8165233333,"Africa","Africa","not endangered","Mande","colley_ebrima_s_y_mandinka_1995"
"mand1442","mdr","Mandar",TRUE,119.068,-3.34717,"Papunesia","Asia","not endangered","Austronesian",NA
"mand1446","mhq","Mandan",FALSE,-102.376,47.6631,"North America","Americas","extinct","Siouan","mixco_mandan_1997"
"mang1378","zng","Mang",TRUE,102.133,21.4305,"Eurasia","Asia","moribund","Austroasiatic",NA
"mang1381","mpc","Mangarrayi",FALSE,133.803,-14.7982,"Australia","Pacific","nearly extinct","Mangarrayi-Maran","merlan_mangarayi_1989"
"mang1383","mem","Mangala",FALSE,123.769,-18.6597,"Australia","Pacific","moribund","Pama-Nyungan","mckelson_kevin_r_learn_1983"
"mang1399","kby","Manga Kanuri",FALSE,10.701,13.557,"Africa","Africa","not endangered","Saharan","peace_corps_niger_manuel_1993"
"mang1403","mbh","Mangseng",FALSE,150.68,-5.89752,"Papunesia","Pacific","not endangered","Austronesian","milligan_lloyd_tentative_1992"
"mang1404","mmo","Mangga Buang",FALSE,146.685,-6.99891,"Papunesia","Pacific","not endangered","Austronesian","healey_joan_writing_1977"
"mang1405","mqy","Manggarai",TRUE,120.329,-8.55748,"Papunesia","Asia","not endangered","Austronesian","semiun_basic_1993"
"mani1235","mnx","Sougb",FALSE,133.95,-1.49611,"Papunesia","Asia","not endangered","East Bird's Head","reesink_ger_p_grammar_2002"
"mani1292","mni","Manipuri",FALSE,93.3426,24.4409,"Eurasia","Asia","threatened","Sino-Tibetan","chelliah_shobhana_l_meithei_2003"
"manm1238","mml","Man Met",TRUE,100.842,22.0743,"Eurasia","Asia","shifting","Austroasiatic",NA
"mann1246","mjv","Mannan",FALSE,76.97,9.85,"Eurasia","Asia","threatened","Dravidian","monsy_annie_linguistic_1997"
"mann1248","mev","Mann",FALSE,-8.86405,7.04616,"Africa","Africa","not endangered","Mande","schwab_george_mano_1947"
"mans1258","mns","Northern Mansi",FALSE,61.344,64.4118,"Eurasia","Asia","shifting","Uralic","riese_vogul_2001"
