ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent
boli1256,Bolinao,,16.3071,119.853,boli1256,smk,Asia
bomk1234,Bom-Kim,,9.27518,-11.59696,bomk1234,bmf,Africa
bona1250,Bonan,,35.6972,102.995,bona1250,peh,Asia
bond1245,Bondo,,19.1512,83.8141,bond1245,bfw,Asia
bond1247,Bondei,,-5.10749,38.5079,bond1247,bou,Africa
bond1248,Najamba-Kindige,,14.9066,-3.32636,bond1248,dbu,Africa
bong1285,Bongo,,7.4145,27.9918,bong1285,bot,Africa
bong1289,Bonggi,,7.29249,117.174,bong1289,bdg,Asia
bora1263,Bora,,-2.91467,-68.9093,bora1263,boa,Americas
bora1271,Borana-Arsi-Guji Oromo,,1.05676,37.882,bora1271,gax,Africa
bord1248,Border Kuna,,7.92993,-77.1664,bord1248,kvn,Americas
bori1243,Bori-Karko,,27.62812,94.3538,bori1243,adi,Asia
boro1277,Boro (Ethiopia),,10.6596,35.345,boro1277,bwo,Africa
boro1279,Borong,,-6.56688,147.511,boro1279,ksr,Pacific
boro1282,Bororo,,-16.6029,-55.2004,boro1282,bor,Americas
boto1242,Botolan Sambal,,15.2315,120.164,boto1242,sbl,Asia
boun1245,Bo-Ung,,-5.8626,144.086,boun1245,mux,Pacific
bouy1240,Bouyei,,24.8484,106.187,bouy1240,pcc,Asia
brah1256,Brahui,,28.5347,64.2991,brah1256,brh,Asia
